ISIN,SEDOL,Share Class,Currency,Date,Price,Price Change,Price Change(%),OCF,Domicile
IE00BPT2BZ34,BPT2BZ3,Global Short-Term Bond Index Fund Institutional Plus GBP Hedged Acc,GBP,2023-05-05,105.4257,-0.22169999999999845,-0.21,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00BPT2BY27,BPT2BY2,Global Short-Term Bond Index Fund Institutional Plus GBP Hedged Dist,GBP,2023-05-05,96.3808,-0.20250000000000057,-0.21,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00BH65QW14,BH65QW1,Global Short-Term Bond Index Fund Institutional Plus JPY Hedged Shares,JPY,2018-09-13,9825.4204,-2.4863470000000234,-0.03,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00BH65QS77,BH65QS7,Global Short-Term Bond Index Fund Institutional Plus USD Hedged Acc,USD,2023-05-05,110.9800,-0.23269999999999413,-0.21,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00BH65QL09,BH65QL0,Global Short-Term Bond Index Fund Investor CHF Hedged Shares,CHF,2020-06-19,100.3827,0.011899999999997135,0.01,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BH65QK91,BH65QK9,Global Short-Term Bond Index Fund Investor EUR Hedged Shares,EUR,2023-05-05,97.3761,-0.21189999999999998,-0.22,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BH65QJ86,BH65QJ8,Global Short-Term Bond Index Fund Investor USD Hedged Shares,USD,2020-06-19,112.9847,0.01680000000000348,0.01,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BH65QN23,BH65QN2,Global Short-Term Bond Index Fund USD Hedged Acc,USD,2023-05-05,112.8511,-0.23669999999999902,-0.21,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BN71SS04,BN71SS0,Global Short-Term Bond Index Fund USD Hedged Dist,USD,2023-05-05,94.7494,-0.19880000000000564,-0.21,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BDFB7290,BDFB729,Global Short-Term Corporate Bond Index Fund EUR Hedged Acc,EUR,2023-05-05,95.3402,-0.21000000000000796,-0.22,0.179999999999999993338661852249060757458209991455078125,Ireland
IE00BDFB7639,BDFB763,Global Short-Term Corporate Bond Index Fund GBP Hedged Acc,GBP,2023-05-05,101.6923,-0.21689999999999543,-0.21,0.179999999999999993338661852249060757458209991455078125,Ireland
IE00BDFB6X37,BDFB6X3,Global Short-Term Corporate Bond Index Fund Institutional Plus EUR Hedged Acc,EUR,2023-05-05,97.6751,-0.21479999999999677,-0.22,0.11999999999999999555910790149937383830547332763671875,Ireland
IE00BDFB6W20,BDFB6W2,Global Short-Term Corporate Bond Index Fund Institutional Plus GBP Hedged Acc,GBP,2023-05-05,102.1243,-0.2172999999999945,-0.21,0.11999999999999999555910790149937383830547332763671875,Ireland
IE00BDFB7308,BDFB730,Global Short-Term Corporate Bond Index Fund USD Hedged Acc,USD,2023-05-05,108.0235,-0.2296000000000049,-0.21,0.179999999999999993338661852249060757458209991455078125,Ireland
IE00B42W4L06,B42W4L0,Global Small-Cap Index Fund EUR Acc,EUR,2023-05-05,270.0555,4.368600000000015,1.64,0.289999999999999980015985556747182272374629974365234375,Ireland
IE00BDCXSH02,BDCXSH0,Global Small-Cap Index Fund EUR Dist,EUR,2023-05-05,125.3644,2.028000000000006,1.64,0.289999999999999980015985556747182272374629974365234375,Ireland
IE00B42W3S00,B42W3S0,Global Small-Cap Index Fund EUR Investor Shares,EUR,2023-05-05,280.6626,4.540099999999995,1.64,0.289999999999999980015985556747182272374629974365234375,Ireland
IE00B3X1NT05,B3X1NT0,Global Small-Cap Index Fund GBP Acc,GBP,2023-05-05,369.6831,4.877300000000048,1.34,0.289999999999999980015985556747182272374629974365234375,Ireland
IE00B3X1LS57,B3X1LS5,Global Small-Cap Index Fund GBP Dist,GBP,2023-05-05,306.1632,4.039199999999994,1.34,0.289999999999999980015985556747182272374629974365234375,Ireland
IE00BFRTDD83,BFRTDD8,Global Small-Cap Index Fund Institutional Plus EUR Acc,EUR,2023-05-05,219.9660,3.5586000000000126,1.64,0.2399999999999999911182158029987476766109466552734375,Ireland
