Name,ISIN,Transaction Date,Currency Transaction Price,Transaction price,Currency AuM, AuM ,TIS
Inst Liability Driven Euro Core Govt Bond 40,NL0009799246,05-May-23,EUR,158.69,EUR,86157833.63,
Institutional Emerging Markets Fund,NL0000275915,05-May-23,EUR,120.18,EUR,701034632.49,
Robeco QI Customized Emerging Markets Enhanced Index Equities Fund,NL0010280111,05-May-23,EUR,155.42,EUR,1193417271.84,
Robeco Customized Euro Government Bonds Fund - EUR F,NL0012650444,05-May-23,EUR,98.25,EUR,160868633.31,
Robeco Customized Euro Government Bonds Fund - EUR G,NL0012650451,05-May-23,EUR,86.61,EUR,160868633.31,
Robeco Customized Euro Government Bonds Fund - EUR Z,NL0015000Z70,05-May-23,EUR,9.87,EUR,160868633.31,
Robeco Institutional Sustainable Core Euro Bonds,NL0010278982,05-May-23,EUR,101.62,EUR,308282209.25,
Robeco Afrika Fonds,NL0006238131,05-May-23,EUR,84.53,EUR,19630814.36,
Robeco Afrika Fonds - EUR G,NL0010510822,05-May-23,EUR,75.12,EUR,19630814.36,
Robeco US Large Cap Equities EUR G E,NL0010831046,05-May-23,EUR,46.68,EUR,111910761.60,
Robeco US Large Cap Equities EUR X E,NL0012650717,05-May-23,EUR,48.21,EUR,111910761.60,
Robeco QI Global Multi-Factor Equities Fund EUR G,NL0011354873,05-May-23,EUR,155.05,EUR,144309622.67,
Robeco QI Global Multi-Factor Equities Fund EUR X,NL0011354881,05-May-23,EUR,139.48,EUR,144309622.67,
Robeco QI Global Developed Enhanced Index Equities Fund,NL0011896998,05-May-23,EUR,160.54,EUR,1516056653.28,
Robeco QI Global Developed Enhanced Index Equities Fund - EUR N,NL0012375307,05-May-23,EUR,163.93,EUR,1516056653.28,
Robeco US Conservative High Dividend Equities EUR G,NL0010619748,05-May-23,EUR,49.51,USD,68095870.84,
Robeco QI Global Developed Conservative Equities Fund - EUR G,NL0011354865,05-May-23,EUR,126.82,EUR,281363788.77,
Robeco QI Global Developed Conservative Equities Fund - EUR X,NL0011354972,05-May-23,EUR,137.00,EUR,281363788.77,
Robeco ONE Defensief,NL0010220810,05-May-23,EUR,132.81,EUR,154592086.49,
Robeco ONE Neutraal,NL0010220828,05-May-23,EUR,157.15,EUR,500510356.89,
Robeco ONE Offensief,NL0010220836,05-May-23,EUR,187.49,EUR,428060190.94,
Robeco Sustainable Global Stars Equities Fund,NL0000289783,05-May-23,EUR,58.42,EUR,3115966036.74,
Robeco Sustainable Global Stars Equities Fund - EUR G,NL0010366407,05-May-23,EUR,64.62,EUR,3115966036.74,
Rolinco,NL0000289817,05-May-23,EUR,51.12,EUR,828365141.96,
Rolinco EUR G,NL0010510798,05-May-23,EUR,55.64,EUR,828365141.96,
Rolinco CP,NL0000288736,05-May-23,EUR,47.96,EUR,5734419.57,
Robeco QI Institutional Emerging Markets Enhanced Index Equities Fund,NL0000688349,05-May-23,EUR,146.84,EUR,897342988.32,
Robeco Life Cycle Fund 2025 F EUR,LU0966309212,05-May-23,EUR,63.49,EUR,24071065.57,
Robeco Life Cycle Fund 2030 F EUR,LU0966309303,05-May-23,EUR,69.77,EUR,44915343.98,
Robeco Life Cycle Fund 2035 F EUR,LU0966309485,05-May-23,EUR,81.17,EUR,40621846.36,
Robeco Life Cycle Fund 2040 F EUR,LU0966309568,05-May-23,EUR,89.99,EUR,29122857.60,
Robeco Life Cycle Fund 2045 F EUR,LU0966309642,05-May-23,EUR,89.13,EUR,15902987.49,
Robeco Life Cycle Fund 2050 F EUR,LU0966309725,05-May-23,EUR,88.30,EUR,7006832.11,
Robeco Life Cycle Fund 2055 F EUR,LU0966309998,05-May-23,EUR,91.18,EUR,4092119.37,
Robeco Life Cycle Fund 2060 F EUR,LU0966310061,05-May-23,EUR,88.94,EUR,3136691.16,
Robeco Life Cycle Fund 2065 F EUR,LU1369249583,05-May-23,EUR,79.04,EUR,764367.60,
Robeco Multi Asset Growth E EUR,LU1387748723,05-May-23,EUR,86.15,EUR,187774535.06,
Robeco Multi Asset Growth G EUR,LU1387748996,05-May-23,EUR,80.14,EUR,187774535.06,
Robeco Multi Asset Growth I USD,LU1629880938,05-May-23,USD,113.31,EUR,187774535.06,
Robeco Multi Asset Growth F EUR,LU1931540345,05-May-23,EUR,93.28,EUR,187774535.06,
Robeco Multi Asset Growth D USD,LU2539469036,05-May-23,USD,112.89,EUR,187774535.06,
Robeco Multi Asset Income E EUR,LU1387747915,05-May-23,EUR,53.46,EUR,152646310.01,
Robeco Multi Asset Income G EUR,LU1387748301,05-May-23,EUR,54.27,EUR,152646310.01,
Robeco Multi Asset Income I USD,LU1629880854,05-May-23,USD,113.86,EUR,152646310.01,
Robeco Multi Asset Income D USD,LU2539469119,05-May-23,USD,113.53,EUR,152646310.01,
Robeco QI European Conservative High Div. Eq. B EUR,LU0312334617,05-May-23,EUR,107.54,EUR,807001637.24,
Robeco QI European Conservative High Div. Eq. C EUR,LU0792910134,05-May-23,EUR,141.72,EUR,807001637.24,
Robeco QI European Conservative Equities D EUR,LU0339661307,05-May-23,EUR,222.61,EUR,807001637.24,
Robeco QI European Conservative Equities F EUR,LU1346203232,05-May-23,EUR,147.96,EUR,807001637.24,
Robeco QI European Conservative Equities I EUR,LU0312333569,05-May-23,EUR,217.78,EUR,807001637.24,
Robeco QI European Conservative Equities IH EUR,LU0808559586,05-May-23,EUR,218.97,EUR,807001637.24,
Robeco QI European Conservative Equities C GBP,LU1321401629,05-May-23,GBP,123.26,EUR,807001637.24,
Robeco QI European Conservative Equities B USD,LU1058972941,05-May-23,USD,88.59,EUR,807001637.24,
Robeco QI European Conservative Equities D USD,LU0910541241,05-May-23,USD,157.29,EUR,807001637.24,
Robeco QI European Conservative Equities DH USD,LU1233759049,05-May-23,USD,153.40,EUR,807001637.24,
Robeco QI European Conservative Equities IH USD,LU1218876149,05-May-23,USD,158.16,EUR,807001637.24,
Robeco QI European Conservative Equities M USD,LU1117476959,05-May-23,USD,129.67,EUR,807001637.24,
Robeco Asia-Pacific Equities D EUR,LU0084617165,05-May-23,EUR,183.71,EUR,445222807.76,
Robeco Asia-Pacific Equities F EUR,LU0871827209,05-May-23,EUR,204.75,EUR,445222807.76,
Robeco Asia-Pacific Equities I EUR,LU1493701376,05-May-23,EUR,138.34,EUR,445222807.76,
Robeco Asia-Pacific Equities D USD,LU0487305319,05-May-23,USD,204.22,EUR,445222807.76,
Robeco Asia-Pacific Equities F USD,LU1278322265,05-May-23,USD,150.72,EUR,445222807.76,
Robeco Asia-Pacific Equities I USD,LU0875837915,05-May-23,USD,170.24,EUR,445222807.76,
Robeco Asia-Pacific Equities M USD,LU1124238186,05-May-23,USD,132.63,EUR,445222807.76,
Robeco Asian Stars Equities D EUR,LU0591059224,05-May-23,EUR,239.29,USD,34976738.00,
Robeco Asian Stars Equities E EUR,LU1143725288,05-May-23,EUR,138.35,USD,34976738.00,
Robeco Asian Stars Equities F EUR,LU0940005217,05-May-23,EUR,209.54,USD,34976738.00,
Robeco Asian Stars Equities F GBP,LU1408525381,05-May-23,GBP,196.01,USD,34976738.00,
Robeco Asian Stars Equities D USD,LU0591060586,05-May-23,USD,162.58,USD,34976738.00,
Robeco Asian Stars Equities DL USD,LU0591061980,05-May-23,USD,148.01,USD,34976738.00,
Robeco Asian Stars Equities I USD,LU1113137688,05-May-23,USD,147.03,USD,34976738.00,
Robeco Asian Stars Equities IL USD,LU0963031652,05-May-23,USD,181.62,USD,34976738.00,
Robeco Asian Stars Equities ML USD,LU1117476876,05-May-23,USD,139.54,USD,34976738.00,
Robeco Chinese A-share Equities D EUR,LU1664415368,05-May-23,EUR,132.74,CNH,7471906840.29,
Robeco Chinese A-share Equities F EUR,LU1664415285,05-May-23,EUR,138.63,CNH,7471906840.29,
Robeco Chinese A-share Equities I EUR,LU1529950088,05-May-23,EUR,83.59,CNH,7471906840.29,
Robeco Chinese A-share Equities I USD,LU1529950328,05-May-23,USD,157.99,CNH,7471906840.29,
Robeco Chinese A-share Equities D USD,LU2207421210,05-May-23,USD,76.71,CNH,7471906840.29,
Robeco Chinese A-share Equities M2 EUR,LU2292538597,05-May-23,EUR,60.11,CNH,7471906840.29,
Robeco Chinese A-share Equities IE EUR,LU2440107501,05-May-23,EUR,71.18,CNH,7471906840.29,
Robeco Corporate Hybrid bonds CH EUR,LU1718492330,05-May-23,EUR,87.42,EUR,227272219.11,
Robeco Corporate Hybrid bonds IH EUR,LU1700711663,05-May-23,EUR,101.17,EUR,227272219.11,
Robeco Corporate Hybrid bonds M2H EUR,LU1874123828,05-May-23,EUR,93.92,EUR,227272219.11,
Robeco Corporate Hybrid bonds IH USD,LU1874124479,05-May-23,USD,112.54,EUR,227272219.11,
Robeco Chinese Equities D EUR,LU0187077309,05-May-23,EUR,91.02,EUR,208183346.17,
Robeco Chinese Equities E EUR,LU0440072071,05-May-23,EUR,121.02,EUR,208183346.17,
Robeco Chinese Equities F EUR,LU0940005134,05-May-23,EUR,173.36,EUR,208183346.17,
Robeco Chinese Equities I EUR,LU0440072238,05-May-23,EUR,93.44,EUR,208183346.17,
Robeco Chinese Equities D USD,LU0374106598,05-May-23,USD,161.25,EUR,208183346.17,
Robeco Chinese Equities I USD,LU0440072402,05-May-23,USD,154.07,EUR,208183346.17,
Robeco Chinese Equities M USD,LU1124238343,05-May-23,USD,117.67,EUR,208183346.17,
RobecoSAM SDG Credit Income Bx USD,LU1806346737,05-May-23,USD,94.96,USD,1031541867.44,
RobecoSAM SDG Credit Income C USD,LU1806346901,05-May-23,USD,95.95,USD,1031541867.44,
RobecoSAM SDG Credit Income I USD,LU1806347115,05-May-23,USD,114.01,USD,1031541867.44,
RobecoSAM SDG Credit Income BxH EUR,LU1806347388,05-May-23,EUR,90.69,USD,1031541867.44,
RobecoSAM SDG Credit Income CH EUR,LU1806347545,05-May-23,EUR,87.94,USD,1031541867.44,
RobecoSAM SDG Credit Income IH EUR,LU1806347891,05-May-23,EUR,102.12,USD,1031541867.44,
RobecoSAM SDG Credit Income CH GBP,LU1857098500,05-May-23,GBP,96.15,USD,1031541867.44,
RobecoSAM SDG Credit Income M2H EUR,LU1945299458,05-May-23,EUR,95.29,USD,1031541867.44,
RobecoSAM SDG Credit Income M3H EUR,LU1945299532,05-May-23,EUR,87.32,USD,1031541867.44,
RobecoSAM SDG Credit Income D2 USD,LU2012947110,05-May-23,USD,102.20,USD,1031541867.44,
RobecoSAM SDG Credit Income D3 USD,LU2012947201,05-May-23,USD,89.55,USD,1031541867.44,
RobecoSAM SDG Credit Income M3 USD,LU2012947466,05-May-23,USD,87.20,USD,1031541867.44,
RobecoSAM SDG Credit Income IE USD,LU2040164530,05-May-23,USD,9431.21,USD,1031541867.44,
RobecoSAM SDG Credit Income BxH SGD,LU2066015582,05-May-23,SGD,86.51,USD,1031541867.44,
RobecoSAM SDG Credit Income BxH HKD,LU2066015665,05-May-23,HKD,87.30,USD,1031541867.44,
RobecoSAM SDG Credit Income DH EUR,LU2091212550,05-May-23,EUR,93.72,USD,1031541867.44,
RobecoSAM SDG Credit Income IBx USD,LU2100416994,05-May-23,USD,88.19,USD,1031541867.44,
RobecoSAM SDG Credit Income IH GBP,LU2154415637,05-May-23,GBP,102.47,USD,1031541867.44,
RobecoSAM SDG Credit Income EH EUR,LU2216803242,05-May-23,EUR,86.07,USD,1031541867.44,
RobecoSAM SDG Credit Income ZBH AUD,LU2230645587,05-May-23,AUD,86.17,USD,1031541867.44,
RobecoSAM SDG Credit Income IBxH SGD,LU2292537946,05-May-23,SGD,84.90,USD,1031541867.44,
RobecoSAM SDG Credit Income F USD,LU2302992347,05-May-23,USD,94.10,USD,1031541867.44,
RobecoSAM SDG Credit Income FH EUR,LU2302992420,05-May-23,EUR,89.95,USD,1031541867.44,
RobecoSAM SDG Credit Income ZH EUR,LU2400458001,05-May-23,EUR,91.03,USD,1031541867.44,
RobecoSAM SDG Credit Income IBH GBP,LU2408968936,05-May-23,GBP,86.67,USD,1031541867.44,
Robeco Global Consumer Trends B USD,LU0951559953,05-May-23,USD,177.67,EUR,3660836174.82,
Robeco Global Consumer Trends D EUR,LU0187079347,05-May-23,EUR,294.71,EUR,3660836174.82,
Robeco Global Consumer Trends D USD,LU0554840073,05-May-23,USD,328.05,EUR,3660836174.82,
Robeco Global Consumer Trends E EUR,LU1143725015,05-May-23,EUR,216.76,EUR,3660836174.82,
Robeco Global Consumer Trends F EUR,LU0871827464,05-May-23,EUR,346.21,EUR,3660836174.82,
Robeco Global Consumer Trends F USD,LU1193126809,05-May-23,USD,200.31,EUR,3660836174.82,
Robeco Global Consumer Trends M EUR,LU0554840230,05-May-23,EUR,383.32,EUR,3660836174.82,
Robeco Global Consumer Trends M2 EUR,LU1648456561,05-May-23,EUR,153.50,EUR,3660836174.82,
Robeco Global Consumer Trends Z EUR,LU0363372490,05-May-23,EUR,712.04,EUR,3660836174.82,
Robeco Global Consumer Trends I EUR,LU0717821077,05-May-23,EUR,444.88,EUR,3660836174.82,
Robeco Global Consumer Trends F GBP,LU1408525464,05-May-23,GBP,237.36,EUR,3660836174.82,
Robeco Global Consumer Trends DH USD,LU1208677507,05-May-23,USD,195.09,EUR,3660836174.82,
Robeco Global Consumer Trends I USD,LU0936248318,05-May-23,USD,258.12,EUR,3660836174.82,
Robeco Global Consumer Trends IH USD,LU1233758660,05-May-23,USD,201.72,EUR,3660836174.82,
Robeco Global Consumer Trends M USD,LU0699433149,05-May-23,USD,295.47,EUR,3660836174.82,
Robeco Global Consumer Trends FH EUR,LU1840769696,05-May-23,EUR,124.97,EUR,3660836174.82,
Robeco Global Consumer Trends DH EUR,LU1834769124,05-May-23,EUR,119.22,EUR,3660836174.82,
Robeco Global Consumer Trends M2H USD,LU1940064972,05-May-23,USD,132.05,EUR,3660836174.82,
Robeco Global Consumer Trends D2 USD,LU2027351696,05-May-23,USD,114.51,EUR,3660836174.82,
Robeco Global Consumer Trends FH CHF,LU2174789870,05-May-23,CHF,100.24,EUR,3660836174.82,
Robeco Global Consumer Trends D HKD,LU2258287171,05-May-23,HKD,81.08,EUR,3660836174.82,
Robeco Global Consumer Trends D SGD,LU2258287254,05-May-23,SGD,79.05,EUR,3660836174.82,
Robeco QI Global Developed Conservative Equities B CAD,LU1685730068,05-May-23,CAD,108.67,EUR,210474374.21,
Robeco QI Global Developed Conservative Equities D EUR,LU1274519823,05-May-23,EUR,156.12,EUR,210474374.21,
Robeco QI Global Developed Conservative Equities I EUR,LU1274520086,05-May-23,EUR,159.82,EUR,210474374.21,
Robeco QI Global Developed Conservative Equities IH EUR,LU1793228112,05-May-23,EUR,122.11,EUR,210474374.21,
Robeco QI Global Developed Conservative Equities D USD,LU1274520169,05-May-23,USD,149.75,EUR,210474374.21,
Robeco QI Global Developed Conservative Equities I USD,LU1274520243,05-May-23,USD,155.69,EUR,210474374.21,
Robeco QI Global Developed Conservative Equities Z CAD,LU1493700485,05-May-23,CAD,114.36,EUR,210474374.21,
Robeco All Strategy Euro Bonds B EUR,LU0528646820,05-May-23,EUR,81.20,EUR,245410269.98,
Robeco All Strategy Euro Bonds C EUR,LU0940005050,05-May-23,EUR,86.53,EUR,245410269.98,
Robeco All Strategy Euro Bonds D EUR,LU0085135894,05-May-23,EUR,82.25,EUR,245410269.98,
Robeco All Strategy Euro Bonds F EUR,LU0940007262,05-May-23,EUR,107.33,EUR,245410269.98,
Robeco All Strategy Euro Bonds I EUR,LU0210247085,05-May-23,EUR,143.60,EUR,245410269.98,
Robeco Euro Credit Bonds C EUR,LU1025004745,05-May-23,EUR,86.03,EUR,1310096185.40,
Robeco Euro Credit Bonds D EUR,LU0213453771,05-May-23,EUR,133.93,EUR,1310096185.40,
Robeco Euro Credit Bonds F EUR,LU0971564843,05-May-23,EUR,112.28,EUR,1310096185.40,
Robeco Euro Credit Bonds I EUR,LU0210246277,05-May-23,EUR,146.42,EUR,1310096185.40,
Robeco Euro Credit Bonds M2 EUR,LU1648457379,05-May-23,EUR,90.20,EUR,1310096185.40,
Robeco Euro Credit Bonds Z EUR,LU0357605475,05-May-23,EUR,159.55,EUR,1310096185.40,
Robeco Euro Credit Bonds DH CHF,LU0808559826,05-May-23,CHF,109.55,EUR,1310096185.40,
Robeco Euro Government Bonds C EUR,LU0620638824,05-May-23,EUR,92.40,EUR,843406579.06,
Robeco Euro Government Bonds D EUR,LU0213453268,05-May-23,EUR,142.01,EUR,843406579.06,
Robeco Euro Government Bonds E EUR,LU0770131059,05-May-23,EUR,92.60,EUR,843406579.06,
Robeco Euro Government Bonds F EUR,LU0832429905,05-May-23,EUR,112.61,EUR,843406579.06,
Robeco Euro Government Bonds G EUR,LU1736382992,05-May-23,EUR,88.27,EUR,843406579.06,
Robeco Euro Government Bonds I EUR,LU0210245469,05-May-23,EUR,151.62,EUR,843406579.06,
Robeco Euro Government Bonds IH USD,LU1218873120,05-May-23,USD,109.12,EUR,843406579.06,
Robeco Euro Government Bonds IHI EUR,LU0853036605,05-May-23,EUR,98.02,EUR,843406579.06,
Robeco Euro Government Bonds 2C EUR,LU1241712022,05-May-23,EUR,75.55,EUR,843406579.06,
Robeco Euro Government Bonds 2E EUR,LU1241712378,05-May-23,EUR,78.71,EUR,843406579.06,
Robeco Euro Government Bonds 2F EUR,LU1241712295,05-May-23,EUR,87.60,EUR,843406579.06,
Robeco Euro Government Bonds 2I EUR,LU1241712451,05-May-23,EUR,87.92,EUR,843406579.06,
Robeco European High Yield Bonds DH EUR,LU0226953981,05-May-23,EUR,220.22,EUR,190483010.07,
Robeco European High Yield Bonds EH EUR,LU1143725106,05-May-23,EUR,96.68,EUR,190483010.07,
Robeco European High Yield Bonds FH EUR,LU0940007346,05-May-23,EUR,137.18,EUR,190483010.07,
Robeco European High Yield Bonds IH EUR,LU0226955762,05-May-23,EUR,244.57,EUR,190483010.07,
Robeco European High Yield Bonds DH CHF,LU1408526603,05-May-23,CHF,110.93,EUR,190483010.07,
Robeco European High Yield Bonds FH CHF,LU1395470989,05-May-23,CHF,115.09,EUR,190483010.07,
Robeco European High Yield Bonds DH USD,LU1408526512,05-May-23,USD,132.50,EUR,190483010.07,
Robeco European High Yield Bonds 0IH EUR,LU1040800143,05-May-23,EUR,120.65,EUR,190483010.07,
Robeco European High Yield Bonds MBXH USD,LU2080583557,05-May-23,USD,81.33,EUR,190483010.07,
Robeco QI Emerging Markets Active Equities D EUR,LU0329355670,05-May-23,EUR,203.63,EUR,798585859.87,
Robeco QI Emerging Markets Active Equities E EUR,LU0910072312,05-May-23,EUR,117.77,EUR,798585859.87,
Robeco QI Emerging Markets Active Equities F EUR,LU0940007189,05-May-23,EUR,177.27,EUR,798585859.87,
Robeco QI Emerging Markets Active Equities G EUR,LU0951559441,05-May-23,EUR,97.83,EUR,798585859.87,
Robeco QI Emerging Markets Active Equities I EUR,LU0329356306,05-May-23,EUR,224.69,EUR,798585859.87,
Robeco QI Emerging Markets Active Equities D USD,LU0565011698,05-May-23,USD,132.43,EUR,798585859.87,
Robeco QI Emerging Markets Active Equities I USD,LU0858455784,05-May-23,USD,140.76,EUR,798585859.87,
Robeco QI Emerging Markets Active Equities IE EUR,LU1940065789,05-May-23,EUR,107.27,EUR,798585859.87,
Robeco QI Emerging Markets Sustainable Active Equities I USD,LU1140784411,05-May-23,USD,138.27,USD,132061314.56,
Robeco QI Emerging Markets Sustainable Active Equities D EUR,LU1648456991,05-May-23,EUR,116.51,USD,132061314.56,
Robeco QI Emerging Markets Sustainable Active Equities F EUR,LU1648457023,05-May-23,EUR,120.43,USD,132061314.56,
Robeco QI Emerging Markets Sustainable Active Equities I EUR,LU1140784502,05-May-23,EUR,156.13,USD,132061314.56,
Robeco QI Emerging Markets Sustainable Active Equities Z EUR,LU1821198063,05-May-23,EUR,113.53,USD,132061314.56,
Robeco QI Emerging Conservative Equities ZB AUD,LU0969500551,05-May-23,AUD,140.93,USD,2323948300.39,
Robeco QI Emerging Conservative High Div. Eq. B EUR,LU0582532197,05-May-23,EUR,97.61,USD,2323948300.39,
Robeco QI Emerging Conservative Equities B USD,LU0951559870,05-May-23,USD,77.16,USD,2323948300.39,
Robeco QI Emerging Conservative High Div. Eq. C EUR,LU0792910217,05-May-23,EUR,95.64,USD,2323948300.39,
Robeco QI Emerging Conservative Equities C USD,LU0944708386,05-May-23,USD,80.49,USD,2323948300.39,
Robeco QI Emerging Conservative Equities D EUR,LU0582533245,05-May-23,EUR,181.28,USD,2323948300.39,
Robeco QI Emerging Conservative Equities D GBP,LU1152267974,05-May-23,GBP,154.10,USD,2323948300.39,
Robeco QI Emerging Conservative Equities D USD,LU0854930350,05-May-23,USD,126.88,USD,2323948300.39,
Robeco QI Emerging Conservative Equities F EUR,LU0940007007,05-May-23,EUR,155.33,USD,2323948300.39,
Robeco QI Emerging Conservative Equities F GBP,LU1152268352,05-May-23,GBP,162.33,USD,2323948300.39,
Robeco QI Emerging Conservative Equities F USD,LU1152268436,05-May-23,USD,130.85,USD,2323948300.39,
Robeco QI Emerging Conservative Equities G GBP,LU1152268519,05-May-23,GBP,124.34,USD,2323948300.39,
Robeco QI Emerging Conservative Equities G USD,LU1152268600,05-May-23,USD,100.90,USD,2323948300.39,
Robeco QI Emerging Conservative Equities I EUR,LU0582530498,05-May-23,EUR,195.70,USD,2323948300.39,
Robeco QI Emerging Conservative Equities I GBP,LU0875838053,05-May-23,GBP,162.36,USD,2323948300.39,
Robeco QI Emerging Conservative Equities IE EUR,LU1233758587,05-May-23,EUR,88.90,USD,2323948300.39,
Robeco QI Emerging Conservative Equities I USD,LU0821169231,05-May-23,USD,142.16,USD,2323948300.39,
Robeco QI Emerging Conservative Equities Z CAD,LU2100416648,05-May-23,CAD,107.41,USD,2323948300.39,
Robeco Sustainable Emerging Credits Z USD,LU1071420613,05-May-23,USD,140.07,USD,153855812.91,
Robeco Sustainable Emerging Credits FH EUR,LU1082323582,05-May-23,EUR,111.31,USD,153855812.91,
Robeco Sustainable Emerging Credits D USD,LU1143725874,05-May-23,USD,122.24,USD,153855812.91,
Robeco Sustainable Emerging Credits I USD,LU1599173124,05-May-23,USD,109.52,USD,153855812.91,
Robeco Sustainable Emerging Credits IH CHF,LU2539431903,05-May-23,CHF,106.67,USD,153855812.91,
Robeco Sustainable Emerging Credits ZH EUR,LU2554843388,05-May-23,EUR,104.55,USD,153855812.91,
Robeco Sustainable Emerging Credits D3 USD,LU2582978222,05-May-23,USD,100.00,USD,153855812.91,
Robeco Sustainable Emerging Credits IBx USD,LU2582978651,05-May-23,USD,100.77,USD,153855812.91,
Robeco Sustainable Emerging Credits M USD,LU2582978495,05-May-23,USD,101.61,USD,153855812.91,
Robeco Sustainable Emerging Credits M3 USD,LU2582978578,05-May-23,USD,99.79,USD,153855812.91,
Robeco Emerging Markets Equities D EUR,LU0187076913,05-May-23,EUR,207.15,EUR,821918875.76,
Robeco Emerging Markets Equities F EUR,LU0792910308,05-May-23,EUR,166.30,EUR,821918875.76,
Robeco Emerging Markets Equities I EUR,LU0209325462,05-May-23,EUR,393.38,EUR,821918875.76,
Robeco Emerging Markets Equities M EUR,LU0128640439,05-May-23,EUR,147.89,EUR,821918875.76,
Robeco Emerging Markets Equities D USD,LU0269635834,05-May-23,USD,171.47,EUR,821918875.76,
Robeco Emerging Markets Equities F USD,LU0971565816,05-May-23,USD,136.97,EUR,821918875.76,
Robeco Emerging Markets Equities I USD,LU0478762148,05-May-23,USD,138.78,EUR,821918875.76,
Robeco Emerging Markets Equities J USD,LU0471362292,05-May-23,USD,142.83,EUR,821918875.76,
Robeco Emerging Markets Equities M USD,LU1408526785,05-May-23,USD,147.29,EUR,821918875.76,
Robeco Emerging Markets Equities M2 EUR,LU1840771080,05-May-23,EUR,109.36,EUR,821918875.76,
Robeco Emerging Markets Equities I SEK,LU2324509913,05-May-23,SEK,93.16,EUR,821918875.76,
Robeco Emerging Markets Equities D SEK,LU2324510093,05-May-23,SEK,91.64,EUR,821918875.76,
Robeco QI Emerging Markets Enhanced Index Equities D EUR,LU1648457452,05-May-23,EUR,116.25,USD,104305961.14,
Robeco QI Emerging Markets Enhanced Index Equities Z EUR,LU0853036514,05-May-23,EUR,166.20,USD,104305961.14,
Robeco QI Emerging Markets Enhanced Index Equities I USD,LU0746585719,05-May-23,USD,135.28,USD,104305961.14,
RobecoSAM Euro SDG Credits IEH CHF,LU1395480277,05-May-23,CHF,86.30,EUR,1089809800.20,
RobecoSAM Euro SDG Credits IH CHF,LU1395477489,05-May-23,CHF,95.35,EUR,1089809800.20,
RobecoSAM Euro SDG Credits B EUR,LU0503372517,05-May-23,EUR,83.22,EUR,1089809800.20,
RobecoSAM Euro SDG Credits C EUR,LU0940006967,05-May-23,EUR,85.69,EUR,1089809800.20,
RobecoSAM Euro SDG Credits D EUR,LU0503372608,05-May-23,EUR,122.01,EUR,1089809800.20,
RobecoSAM Euro SDG Credits F EUR,LU0940006884,05-May-23,EUR,109.49,EUR,1089809800.20,
RobecoSAM Euro SDG Credits I EUR,LU0503372780,05-May-23,EUR,129.02,EUR,1089809800.20,
RobecoSAM Euro SDG Credits IH GBP,LU1807417479,05-May-23,GBP,99.41,EUR,1089809800.20,
RobecoSAM Euro SDG Credits 0E EUR,LU1241712618,05-May-23,EUR,83.74,EUR,1089809800.20,
RobecoSAM Euro SDG Credits IE EUR,LU1821197412,05-May-23,EUR,9200.70,EUR,1089809800.20,
RobecoSAM Euro SDG Credits IH USD,LU2258286959,05-May-23,USD,91.17,EUR,1089809800.20,
Robeco Emerging Stars Equities D EUR,LU0254836850,05-May-23,EUR,236.87,EUR,1536413070.80,
Robeco Emerging Stars Equities DL EUR,LU0334642401,05-May-23,EUR,159.34,EUR,1536413070.80,
Robeco Emerging Stars Equities E EUR,LU1143725528,05-May-23,EUR,119.26,EUR,1536413070.80,
Robeco Emerging Stars Equities F EUR,LU0792910050,05-May-23,EUR,172.50,EUR,1536413070.80,
Robeco Emerging Stars Equities FL EUR,LU1664415012,05-May-23,EUR,114.09,EUR,1536413070.80,
Robeco Emerging Stars Equities G EUR,LU1736383453,05-May-23,EUR,98.58,EUR,1536413070.80,
Robeco Emerging Stars Equities I EUR,LU0254839870,05-May-23,EUR,178.68,EUR,1536413070.80,
Robeco Emerging Stars Equities Z EUR,LU0834379876,05-May-23,EUR,193.40,EUR,1536413070.80,
Robeco Emerging Stars Equities F GBP,LU1408525035,05-May-23,GBP,173.24,EUR,1536413070.80,
Robeco Emerging Stars Equities G GBP,LU1408526199,05-May-23,GBP,160.34,EUR,1536413070.80,
Robeco Emerging Stars Equities IL GBP,LU1377970469,05-May-23,GBP,167.71,EUR,1536413070.80,
Robeco Emerging Stars Equities D USD,LU0337098114,05-May-23,USD,123.84,EUR,1536413070.80,
Robeco Emerging Stars Equities DL USD,LU1618352691,05-May-23,USD,109.12,EUR,1536413070.80,
Robeco Emerging Stars Equities F USD,LU1408525977,05-May-23,USD,154.98,EUR,1536413070.80,
Robeco Emerging Stars Equities FL USD,LU1193126049,05-May-23,USD,124.80,EUR,1536413070.80,
Robeco Emerging Stars Equities I USD,LU1036585435,05-May-23,USD,135.70,EUR,1536413070.80,
Robeco Emerging Stars Equities IL USD,LU1278322851,05-May-23,USD,152.93,EUR,1536413070.80,
Robeco Emerging Stars Equities KE USD,LU1102563886,05-May-23,USD,97.52,EUR,1536413070.80,
Robeco Emerging Stars Equities ML USD,LU1025004828,05-May-23,USD,128.95,EUR,1536413070.80,
Robeco Emerging Stars Equities KE GBP,LU1857097528,05-May-23,GBP,104.97,EUR,1536413070.80,
Robeco Emerging Stars Equities IE EUR,LU1840769852,05-May-23,EUR,11345.98,EUR,1536413070.80,
Robeco Emerging Stars Equities IL EUR,LU2609983668,05-May-23,EUR,102.19,EUR,1536413070.80,
