Umbrella_Name,Fund_Name,Fund_Class,Valuation_Date,BASECurrency,QUOTCurrency,NAV_per_unit,Previous_NAV_per_unit,Change_in_NAV_per_unit,Change_Percent_in_NAV_per_unit,Client_Offer_Price,Client_Offer_Percentage,Income_Aktien,Total_NAV_per_Class_Base_Ccy,Total_Net_Assets_per_Class_MIL,Units_In_Issue,DIV_Flag,Cutas,FT,ISIN,BloombergTicker,VN,FMSedols,ISESedols,EuroClearCedel,Bundesamt,Sicovam,AFCCodes,WKN,Annualised_1_Day_Yield,clio_fund_id,Distribution_rate_per_share,Accum_Deemed_Distrib,Cap_Per_Unit,Inc_Per_Unit,Fund_Title,IFAST_account_number,IFAST_account_class,Income_Zwish,Unrounded_Quotations_NAV,Unrounded_Base_NAV,Exchange_Rate,ExpenseRatio,DividendtoMonthMethod,FundType,AccrualDate,MillRate,DailyDividend,DividendMonthtodate,DayYield1,DayYield7,DayYield30,MCH_account_number,MCH_account_class,Income_IG,Total_NAV_Per_Fund,AG2,TIS,TID,CUSIP,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,USD F Class Accumulation,05/05/2023,USD,USD,12.73,12.71,.02,.16,,,.00,20900769.66,20.90,1641426.769,,,,IE00BYZJC703,PRHYUFA ID,,,BYZJC70,,,,,A2JNGH,,,,,,,PGIF Global High Yield Fund,,,.0000,12.733294,12.733294,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,USD I Class Accumulation,05/05/2023,USD,USD,29.56,29.14,.42,1.44,,,.00,227240503.07,227.24,7686261.568,,,,IE00B62LQD71,PIFGUIA ID,11324005,,B62LQD7,,,,,A1JBGP,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,PGPS,IA,.0000,29.564503,29.564503,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,USD I2 Class Income,05/05/2023,USD,USD,10.94,10.79,.15,1.39,,,.00,50440938.12,50.44,4608675.583,,,,IE00BN326X83,PIFI2UI ID,24815911,,BN326X8,,,,,A14Z04,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,10.944780,10.944780,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,USD A Class Accumulation,05/05/2023,USD,USD,9.89,9.75,.14,1.44,,,.00,4806519.88,4.81,485843.338,,,,IE00B62KPK41,PIFGAAU ID,,,B62KPK4,,,,,A2JMB2,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,9.893148,9.893148,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,F Class Accumulation Units,05/05/2023,USD,USD,10.56,10.41,.15,1.44,,,.00,17838652.91,17.84,1688746.113,,,,IE00B48H0774,GLPSUFA ID,,,B48H077,,,,,A2JNGK,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,10.563253,10.563253,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,P Class Accumulation Units,05/05/2023,USD,USD,9.37,9.23,.14,1.52,,,.00,479290.00,.48,51163.204,,,,IE00BWX5QX00,PIFGPPU ID,,,BWX5QX0,,,,,A2PM6Y,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,9.367865,9.367865,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,USD D2 Class Income Units,05/05/2023,USD,USD,7.80,7.69,.11,1.43,,,.00,291084.73,.29,37324.565,,,,IE00BYM2LR54,PRGPSDU ID,,,BYM2LR5,,,,,A2PWXG,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,7.798744,7.798744,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,USD Hedged I Class Accumulation,05/05/2023,USD,USD,13.64,13.45,.19,1.41,,,.00,164647.72,.16,12073.463,,,,IE00B1W57P38,PIFGPSU ID,3071326,,B1W57P3,,,,,A0MQL4,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,PGPS,NA,.0000,13.637158,13.637158,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,USD N Class Accumulation,05/05/2023,USD,USD,9.23,9.10,.13,1.43,,,.00,13154890.90,13.15,1425616.338,,,,IE00BD0G6119,PIFGPSN ID,,,BD0G611,,,,,A2PL4J,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,9.227511,9.227511,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global Property Securities Fund,USD N Class Inc,05/05/2023,USD,USD,9.66,9.52,.14,1.47,,,.00,22491542.88,22.49,2327846.988,,,,IE00BD0G6226,PPSCHAI ID,,,BD0G622,,,,,A2JRGY,,,,,,,PGIF GLOBAL PROPERTY SECURITIES FUND,,,.0000,9.661951,9.661951,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,517319783,.000000000,.000000,.000000000,,EndofRow,
